"Accident No","Accident type","Site/area
","Country
","Details
","Web reference/link
","Year","Month","Day","Turbine Type","Manufacturer","Power of Turbine (KW)","PowerOfWindFarm (KW)","Offshore","During Construction","FULL-DATE","Outcome","Death","Fire","Injury","Mechanical","Structural Break","Transport Accident","Component","Cause","CauseCategory","Source Database","Source of the News","Title of the article"
"173","Wind","Buckinghamshire","UK","A problem seems to be the turbines catching fire; one of the most recent and significant fires was on December 23rd when one of the five 200ft wind turbines at the Nissan car plant in Sunderland caught fire,"" it says.","http://www.burnham-on-sea.com/news/2006/wind-farm-27-02-06.shtml","2005","12","23","Vestas","Vestas","UNKNOWN","UNKNOWN","","","December 23, 2005","Fire & Structural break","0","1","0","0","1","0","Tower","Human (wrong action)","UNKNOWN","Google","burnham-on-sea.com","Wind farm accident photos show the risks, claims pressure group"
"174","Wind","Schagen","Netherlands","Newspaper report of a turbine accident near the provincial highway between the towns of Alkmaar and Schagen in NW Holland. One of the blades of a Vestas turbine, 3000 kgs and 23 meters in length, broke and landed next to the highway not hitting anyone though. ","http://www.windaction.org/pictures/15922","2008","5","15","Vestas","Vestas","UNKNOWN","UNKNOWN","","","May 15, 2008","Structural break","0","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","De Telegraaf ","Blade throw in Holland "
"175","Wind","Hannover","Germany","A construction worker who fell 24 feet Friday morning had to be carefully lowered through a series of hatchways inside Hanover’s 210-foot wind turbine before being rushed to the hospital.","http://www.patriotledger.com/crimexx/x1671797027/Firefighters-trying-to-rescue-worker-at-Hanover-wind-turbine#ixzz2F3NxXw52","2012","12","14","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","December 14, 2012","Injury","0","0","1","0","0","0","Tower","Human","Human","Google","Patriot Ledger","Worker in good condition after fall from Hanover wind turbine"
"176","Wind","Pennsylvania","USA","A wind turbine contractor was injured at the Twin Ridges Wind Farm in Wellersburg Tuesday afternoon when a large piece of steel fell on him.","http://articles.dailyamerican.com/2012-11-20/news/35242068_1_wind-turbine-wellersburg-everpower","2012","11","20","UNKNOWN","UNKNOWN","UNKNOWN","200000","","","November 20, 2012","Injury","0","0","1","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","Daily American","Wind turbine worker injured near Wellersburg"
"177","Wind","Wellington","New Zealand","A company hired to do line work on a Makara wind farm had failed to get the relevant information on safely using a machine, which later toppled killing one man and seriously injuring another","http://www.stuff.co.nz/business/industries/7899477/Safety-info-lacking-before-wind-farm-death","2012","11","2","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","November 2, 2012","Death & Injury","1","0","1","0","1","0","Tower","Human","Human","Google","stuff.co.nz","Safety info lacking before wind farm death"
"178","Wind","Pennsylvania","USA","An unidentified construction worker suffered unspecified injuries Tuesday afternoon when he fell into a manhole while working on the windmill lead line project in the area of Green and Grant streets.","http://www.windaction.org/news/35832","2012","8","14","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","August 14, 2012","Injury","0","0","1","0","0","0","Tower","Human","Human","Google","Cumberland Times-News","Construction worker injured in manhole fall"
"179","Wind","Burgenland","Austria","An Austrian wind farm had to be closed after a blade snapped off one of the wind turbines, and fell over 100 metres to the ground.","http://austriantimes.at/news/General_News/2012-06-20/42446/Blade_snaps_off_windmill_","2012","6","20","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","June 20, 2012","Structural break","0","0","0","1","1","0","Blade","Mechanical","Mechanical","Google","Austrian Times","Blade snaps off windmill"
"180","Wind","Northumberland","UK","A transporter lorry travelling in Northumberland northbound on the A696, Newcastle to Jedburgh road, carrying a component for a wind turbine, came off the road. It happened just south of Ravenscleugh Farm between Ottercops communication masts and Raylees","http://www.northumberlandgazette.co.uk/news/local-news/turbine-transport-crash-was-accident-waiting-to-happen-1-4610153","2012","6","3","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","June 3, 2012","Transportation accident","0","0","0","0","1","1","Tower","Human (transportation)","Human","Google","Northumberland Gazette","Turbine transport crash was ‘accident waiting to happen’ "
"181","Wind","Redfield","USA","A truck carrying a 131-foot-long wind blade from Aberdeen collided with two other semi trucks at the intersection of U.S. highways 281 and 212 north of  Redfield about 12:30 p.m. Wednesday, according to the South Dakota Highway Patrol.","http://www.aberdeennews.com/news/aan-3-collide-in-redfield-20120516,0,7317098.story","2012","5","16","GE","GE","UNKNOWN","UNKNOWN","","","May 16, 2012","Transportation accident","0","0","0","0","1","1","Blade","Human (transportation)","Human","Google","Aberdeen News","3 semis collide"
"182","Wind","Cornwall","UK","Part of a wind turbine blade weighing more than half a ton snapped off and crashed into a field during high winds. A chunk of the 18 metre (59 feet) long blade sheared off at the Cold Northcott windfarm on Bodmin Moor at about 9am yesterday.","http://www.windaction.org/news/1285","2006","1","14","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","January 14, 2006","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","Western Morning News","Big Chunk Of Turbine Blade Shears Off "
"183","Wind","Tasmania","Australia","The Tasmanian wind power company, Roaring 40s, says a wind turbine at its Woolnorth farm injured a wedge-tailed eagle two weeks ago. The eagle's wing was damaged and it had to be put down by a vet","http://www.windaction.org/news/4441","2006","8","15","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","August 15, 2006","Bird injury","0","0","1","0","0","0","Blade","Mechanical (due to collision)","Mechanical","Google","ABC","Eagle put down after wind farm accident "
"184","Wind","North Sea","UK","Vital maintenance work on Scroby Sands windfarm, off the Norfolk coast, has been interrupted after an accident involving the giant jack-up barge Sea Energy","http://www.windaction.org/news/5585","2006","10","6","Vestas 2000 KW","Vestas","2000","60000","","","October 6, 2006","Mechanical","0","0","0","0","0","0","Blade","Structural (smashed barge)","Structural","Google","EDP24","Barge smashes into wind turbine "
"185","Wind","Stirling, Scotland","UK","A 19-year-old construction worker has been killed after falling 100ft down the shaft of a windfarm turbine. ","http://www.windaction.org/news/14468","2007","5","22","Nordex 2500 KW","Nordex","2500","37500","","","May 22, 2007","Death","1","0","0","0","0","0","Tower","Human","Human","Google","BBC","Man dies after 100ft turbine fall "
"186","Wind","Quebec","Canada","A truck carrying a wind turbine scraped the underside of the overpass while trying to pass through. The truck likely hit the overpass because the load was ""too high,"" explained provincial police spokesman Ronald McKinnis","http://www.cbc.ca/news/canada/montreal/story/2007/10/30/qc-lacolleborderaccident1030.html","2007","10","30","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","October 30, 2007","Structural break & Transportation accident ","0","0","0","0","1","1","Tower","Human (transportation)","Human","Google","CBC","Truck carrying wind turbine strikes Highway 15 overpass"
"187","Wind","Oregon","USA","Locked turbine blades and an unplugged circuit board may have been behind the sequence of events that buckled a wind turbine tower and sent a technician plunging to his death. ","http://www.windaction.org/news/12715","2007","8","25","Siemens","Siemens","UNKNOWN","UNKNOWN","","","August 25, 2007","Death","1","0","0","0","0","0","Nacelle","UNKNOWN","UNKNOWN","Google","Oregon Live","Worker's wind tower death detailed "
"188","Wind","North Dakota","USA","A wind tower column from DMI Industries in West Fargo that was being hauled on a semitrailer flatbed clipped the underside of an Interstate 94 overpass just east of this city, damaging it. ","http://www.windaction.org/news/12847","2007","11","24","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","November 24, 2007","Structural break & Transportation accident ","0","0","0","0","1","1","Tower","Human (transportation)","Human","Google","windpowermonthly.com","Overpass damage near Casselton caused by wind tower "
"189","Wind","Jutland","Denmark","Nordtank wind turbine at Halling in eastern Jutland experienced a so called runwaway event causing its blades to spin out of control. Minutes later the blades collided with the tower and caused the turbine to collapse. ","http://www.windaction.org/news/14464","2008","2","27","Nordtank 600 KW","Nordtank","600","UNKNOWN","","","February 27, 2008","Structural break","0","0","0","1","1","0","Blade","Human (wrong action)","Human","Google","windpowermonthly.com","Wind turbine collapse under investigation "
"190","Wind","Zealand","Denmark","In an unrelated event at Vig in Odsherred a Vestas V47 600kW wind turbine lost a blade. ","http://www.windaction.org/news/14464","2008","2","27","Vestas 600 KW","Vestas","600","UNKNOWN","","","February 27, 2008","Structural break","0","0","0","1","1","0","Blade","Human (wrong action)","Human","Google","windpowermonthly.com","Wind turbine collapse under investigation "
"191","Wind","Texas","USA","ECCA Fire Chief Gary Young said the fire started in the wind turbine tower and then spread to grass around the tower.","http://www.ktxs.com/news/Wind-Turbine-Erupts-Into-Flames-Southwest-Of-Abilene/-/14769632/14675290/-/sx0sy7z/-/index.html","2011","8","25","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","August 25, 2011","Fire","0","1","0","0","1","0","Tower","UNKNOWN","UNKNOWN","Google","ktxs.com","Wind Turbine Erupts Into Flames Southwest Of Abilene"
"192","Wind","Wyoming","USA","Arlington, WY – avg annual wind speed of 31mph, gusts above 110mph,","http://wattsupwiththat.com/2011/02/02/wind-power-gets-bent-out-of-shape-in-wyoming/","2011","2","1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","February 1, 2011","Structural break","0","0","0","0","1","0","Tower","Nature (strong wind)","Nature","Google","wattsupwiththat.com","Wind power gets bent out of shape in Wyoming"
"193","Wind","Minnesota","USA","Man, 26, installing turbine before fire broke out; 2 others injured","http://www.comtrainusa.com/CT/News/Sioux%20Falls%20Accident/article.htm","2005","11","11","Suzlon S64 1250 KW","Suzlon","1250","10000","","","November 11, 2005","Death & Injury & Fire","1","1","1","1","1","0","Generator","UNKNOWN","UNKNOWN","Google","comtrainusa.com","Sioux Falls utility worker dies in fall from Minnesota wind tower"
"194","Wind","Uelzen","Germany","Fire material damage","http://www.blm.gov/pgdata/etc/medialib/blm/ca/pdf/ridgecrest/alta_east_wind.Par.7961.File.dat/Alta_East_Public_Comments.pdf","2009","12","2","UNKNOWN","UNKNOWN","UNKNOWN","10500","","","December 2, 2009","Fire & Structural break","0","1","0","0","1","0","UNKNOWN","Mechanical","Mechanical","Google","blm.gov","Item 602 Additional Article"
"195","Wind","Ceara","Brazil","Suzlon turbine explodes in Brazil","http://www.blm.gov/pgdata/etc/medialib/blm/ca/pdf/ridgecrest/alta_east_wind.Par.7961.File.dat/Alta_East_Public_Comments.pdf","2009","12","2","Suzlon 2100 KW","Suzlon","2100","105000","","","December 2, 2009","Fire & Structural break","0","1","0","0","1","0","Nacelle","UNKNOWN","UNKNOWN","Google","blm.gov","Item 603 Additional Article"
"196","Wind","Cape Jervis","Australia","Fire in Australia","http://www.blm.gov/pgdata/etc/medialib/blm/ca/pdf/ridgecrest/alta_east_wind.Par.7961.File.dat/Alta_East_Public_Comments.pdf","2010","10","30","UNKNOWN","UNKNOWN","UNKNOWN","34500","","","October 30, 2010","Fire & Structural break","0","1","0","0","1","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","blm.gov","Item 605 Additional Article"
"197","Wind","Texas","USA","Fire in Texas","http://www.ngnews.ca/News/Local/2011-01-31/article-2187158/Electrical-problem-expectedas-cause-in-windmill-fire/1","2011","1","31","UNKNOWN","UNKNOWN","UNKNOWN","34500","","","January 31, 2011","Fire","0","1","0","1","0","0","UNKNOWN","Mechanical (electrical discharge)","Mechanical","Google","ngnews.ca","Electrical problem expected as cause in windmill fire"
"198","Wind","Taichung Harbor","Taiwan","on September 28, 2008, Typhoon Jangmi struck Taiwan,
bringing strong winds and heavy rainfall that collapsed a wind turbine tower located
on the shore of Taichung Harbor. This study provides significant insights into, and lessons
learned from, post-disaster inspection into the causes of tower failure during this typhoon","http://www.sciencedirect.com/science/article/pii/S1350630710001603","2008","9","28","Z72-2000-2B 2 kW","Zephyros B. V.","2","72000","","","September 28, 2008","Structural Break","0","0","0","1","1","0","Tower","Nature (strong wind)","Nature","Google","sciencedirect.com","Failure analysis and risk management of a collapsed large wind turbine tower"
"199","Wind","Hornslet","Denmark","Hornslet Wind Turbine Collapse was a spectacular collapse of a wind turbine on February 22, 2008. It is one of only a few structural collapses that have been captured on film.","http://en.wikipedia.org/wiki/Hornslet_Wind_Turbine_Collapse","2008","2","22","Nordtank 600 KW","Nordtank","600","UNKNOWN","","","February 2, 2008","Structural Break","0","0","0","1","1","0","Gear","Human (interference in control systems)","Human","Google","wikipedia.com","Hornslet wind-turbine collapse"
"200","Wind","Fenner","USA","A 329-foot wind turbine, base to blade tip, collapsed early Sunday morning, December 27, at the Fenner wind farm in Fenner, New York","http://www.windaction.org/pictures/24818","2009","12","27","GE 1500 KW","GE","1500","30000","","","December 27, 2009","Structural Break","0","0","0","1","1","0","Tower","UNKNOWN","UNKNOWN","Google","windaction.org","Fenner wind turbine collapse, aerial image"
"201","Wind","Vechta","Germany","A fallen windmill switches off all others from grid too.","http://mitglied.multimania.de/WilfriedHeck/ellenst.htm","2002","10","19","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","October 10, 2002","Structural Break","0","0","0","1","1","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","mitglied.multimania.de","Umfaller im Windpark Ellenstedt in der Nähe von Vechta"
"202","Wind","Cumbria","UK","The machine - said to be one of the oldest in the county - came down between December 29-30 in high winds. ","http://news.bbc.co.uk/2/hi/uk_news/england/cumbria/7168275.stm","2007","12","29","Vestas","Vestas","UNKNOWN","UNKNOWN","","","December 29, 2007","Structural Break","0","0","0","1","1","0","Tower","Nature (strong wind)","Nature","Google","BBC","Probe into wind turbine collapse "
"203","Wind","Kreekraksluis","Netherlands","A blade tip hit the tower after the turbine's main axle broke in fair weather.","http://www.windpowermonthly.com/news/956363/Turbine-failure-Windpark-Kreekraksluis-investigation/?DCMP=ILC-SEARCH ","1996","2","1","NedWind 500 KW","NedWind","500","12500","","","February 1, 1996","Structural Break","0","0","0","1","1","0","Tower","Nature (strong wind)","Nature","Google","windpowermonthly.com","Turbine failure at Windpark Kreekraksluis under investigation"
"204","Wind","Herzogenrath","Germany","A Repower Systems 2 MW turbine, newly installed for wind plant operator Jawe Konstrukt of Wesseling at a site near Herzogenrath, lost a blade tip during high winds in early September requiring a main road to be closed for several hours while the police investigated the incident and supervised any clearing of debris. ""The blade, delivered by LM, was not the problem,"" says Repower's Thomas Schnorrenberg. ""The fault appears to have been in the charger for the batteries operating the blade brakes and the sensor system that should have signalled that the batteries were not charged,"" he says.","http://www.windpowermonthly.com/news/951160/Repower-2-MW-wind-turbine-loses-blade-tip/?DCMP=ILC-SEARCH","2006","11","UNKNOWN","Repower 2 KW","Repower","2","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Mechanical (the charger for the batteries operating the blade brakes)","Mechanical","Google","windpowermonthly.com","Repower 2 MW wind turbine loses blade tip"
"205","Wind","Rhode Island","USA","significant amounts of metal were found in the gearbox oil filter housing and significant internal damage was observed with a borescope. The filter element was replaced on May 25, and the turbine was returned to service. The turbine was removed from service on June 18, 2012 after significant additional metal was discovered in the filter housing.","https://www.wind-watch.org/documents/gearbox-failure-investigation/","2012","10","27","AAER 77-65 1500 KW","AAER","1500","UNKNOWN","","","October 27, 2012","Structural break","0","0","0","1","1","0","Gearbox","Mechanical","Mechanical","Google","wind-watch.org","Gearbox Failure Investigation"
"206","Wind","Ohio","USA","In the incident at the Paulding County wind farm, a Vestas turbine suffered a blade shear in the spring. EverPower informed the OPSB that it eliminated the Vestas brand turbine as a potential company from which to purchase turbines for the proposed Champaign Wind project.","https://www.wind-watch.org/news/2012/11/10/everpower-employee-asked-about-shadow-flicker-blade-failure/","2012","11","10","Vestas","Vestas","UNKNOWN","UNKNOWN","","","November 10, 2012","UNKNOWN","0","0","0","1","1","0","Blade","Nature (lightening strike)","Nature","Google","wind-watch.org","EverPower employee asked about shadow flicker, blade failure  "
"207","Wind","Tasmania","Australia","They expressed fury at the failure and damage to the turbines on Hobart’s waterfront Marine Board building on August 11, coming after the council had included safety concerns in its opposition to the turbines.","https://www.wind-watch.org/news/2010/08/24/call-to-probe-turbine-failure/","2010","8","24","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","August 24, 2010","Structural break","0","0","0","1","1","0","Tower","UNKNOWN","UNKNOWN","Google","wind-watch.org","Call to probe turbine failure "
"208","Wind","Scotland","UK","The Coldingham wind turbine brought to the ground due to safety fears last week suffered mechanical failure, according to police and the company which installed it.","https://www.wind-watch.org/news/2011/12/20/turbine-brought-down-due-to-mechanical-failure/","2011","12","20","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","December 20, 2011","Mechanical","0","0","0","1","1","0","Tower","Nature (strong wind)","Nature","Google","wind-watch.org","Turbine brought down due to mechanical failure   "
"209","Wind","Cornwall, England","UK","The blade were hit by lighting.","http://webarchive.nationalarchives.gov.uk/+/http://www.dti.gov.uk/NewReview/nr36/html/wind.html","1997","12","15","300 KW","UNKNOWN","300","4500","","","December 15, 1997","Structural break","0","0","0","1","1","0","Blade","Nature (lightening strike)","Nature","Google","webarchive.nationalarchives.gov.uk","Wind farms withstand winter storms"
"210","Wind","Gujarat","India","Around 35 MW of turbines destroyed in a cyclone in Gujarat.","http://www.windpowermonthly.com/news/958306/","1998","6","9","UNKNOWN","UNKNOWN","UNKNOWN","130000","","","June 9, 1998","Structural break","0","0","0","0","1","0","Tower","Nature (cyclone)","Nature","Google","windpowermonthly.com","Changing the tide of misfortune"
"211","Wind","Owenreagh, County Tyrone","UK","A Zond nacelle and rotor in Northern Ireland fell from their tower during hurricane force winds which hit the province on December 26.","http://www.windpowermonthly.com/news/953938/Winds-blow-turbine-tower/?DCMP=ILC-SEARCH","1998","12","26","Zond 550 KW","Zond","550","UNKNOWN","","","December 26, 1998","Structural break","0","0","0","0","1","0","Nacelle & Rotor","Nature (strong wind)","Nature","Google","windpowermonthly.com","Winds blow turbine from tower"
"212","Wind","Vogelsberg, Hessen","Germany","Five Enercon E40 machines in Hesse have failed this year. The nacelles of two machines recently crashed to the ground, both suffering from a failed ""kingpin,"" a cast iron component used to attach the nacelle to the turbine tower. The material of the failed component in each case was sub-standard, says Enercon. ","http://www.windpowermonthly.com/news/958060/Material-fault-identified/?DCMP=ILC-SEARCH","1999","1","16","Enercon 600 KW","Enercon","600","16500","","","January 16, 1999","Structural break","0","0","0","0","1","0","Nacelle","Mechanical (fault material)","Mechanical","Google","windpowermonthly.com","Material fault identified"
"213","Wind","Zeewolde","Netherlands","A fire in one of the 19 NedWind 1 MW wind turbines at the Eemmeerdijk wind farm in Zeewolde led to a temporary shut down of the whole plant in December, shortly after it went on line in November. The fire broke out on Christmas day, apparently the result of a fault in the grid connection of one turbine, causing it to short circuit, says NedWind's Theo Alsemgeest. ","http://www.windpowermonthly.com/news/959623/Turbine-fire-Eemmeerdijk/?DCMP=ILC-SEARCH","1998","12","24","NedWind 1000 KW","NedWind","1000","18000","","","December 24, 1998","Fire","0","1","0","0","0","0","Tower","Mechanical (fault in grid)","Mechanical","Google","windpowermonthly.com","Turbine fire at Eemmeerdijk"
"214","Wind","Emsland","Germany","Two blade failures on NEG Micon 1.5 MW turbines in February at the Sustrum/Renkenberge wind station in Emsland, Germany.","http://www.windpowermonthly.com/news/956301/Lightning-damages-wood-epoxy-blades/?DCMP=ILC-SEARCH","1999","2","15","NEG Micon 1500 KW","NEG Micon","1500","UNKNOWN","","","January 15, 1999","Structural break","0","0","0","0","1","0","Blade","Nature (lightening strike)","Nature","Google","windpowermonthly.com","Lightning damages wood epoxy blades"
"215","Wind","Palm Springs, California","USA","A 40 metre blade split apart on a new Zond Z-750 wind turbine near Palm Springs in winds of about 40 mph. ","http://www.windpowermonthly.com/news/955069/Zond-blade-failure-Palm-Springs/?DCMP=ILC-SEARCH","1999","1","20","Zond Z750 750 KW","Zond","750","UNKNOWN","","","January 20, 1999","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windpowermonthly.com","Zond blade failure in Palm Springs"
"216","Wind","Falkenberg","Sweden","The failure involved a Vestas 225 kW turbine, a model manufactured in large numbers in the early 1990s, at Falkenberg on the west coast. After becoming detached from the hub for reasons not known, the blade fell to the ground at the base of the tower.","http://www.windpowermonthly.com/news/970564/Europe-Flying-blades-investigated/?DCMP=ILC-SEARCH","2009","11","UNKNOWN","Vestas 225 KW","Vestas","225","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","windpowermonthly.com","Europe: Flying blades to be investigated"
"217","Wind","Malmö","Sweden","The lost blade was from an 18-metre wind turbine from Liten Vindkraft, a little known Swedish make. It was installed in the centre of Malmo but collapsed a few hours after being turned on.","http://www.windpowermonthly.com/news/970564/Europe-Flying-blades-investigated/?DCMP=ILC-SEARCH","2009","11","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","windpowermonthly.com","Europe: Flying blades to be investigated"
"218","Wind","Palencia","Spain","Storm force winds with gusts claimed to be as high as 55 metres per second (m/s) tore the nacelle, rotor and two tower sections from a 660 kW Gamesa Eólica G-47 turbine at Palencia in the Spanish province of Castile and León in early January. ","http://www.windpowermonthly.com/news/951963/Extreme-winds-topple-turbine---Twice-two-months-Gamesa/?DCMP=ILC-SEARCH","2001","1","15","Gamesa 660 KW","Gamesa","660","19800","","","January 15, 2001","Structural break","0","0","0","0","1","0","Tower","Nature (strong wind)","Nature","Google","windpowermonthly.com","Extreme winds topple turbine -- Twice in two months for Gamesa"
"219","Wind","Merindades","Spain","In December in Merindades, a G-47 tower was fractured, apparently struck by a blade and again in high winds, though Gamesa declines to comment further on this incident.","http://www.windpowermonthly.com/news/951963/Extreme-winds-topple-turbine---Twice-two-months-Gamesa/?DCMP=ILC-SEARCH","2000","12","UNKNOWN","Gamesa 660 KW","Gamesa","660","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windpowermonthly.com","Extreme winds topple turbine -- Twice in two months for Gamesa"
"220","Wind","Valencia","Spain","On March 2, average wind speeds at the Sierra Cabrera wind farm in Valencia were measured at 140 kilometres per hour (39 m/s), with gusts as strong as 180 km/h (50 m/s), according to Gamesa Eólica's Javier Perea. The winds brought down part of the rotor and generator of a 850 kW unit. The turbine was still awaiting grid connection and was not able to yaw out of the wind, says Perea. ","http://www.windpowermonthly.com/news/959281/Third-Gamesa-storm-victim-December/?DCMP=ILC-SEARCH","2001","3","2","Gamesa 850 KW","Gamesa","850","66700","","","March 2, 2001","Structural break","0","0","0","0","1","0","Rotor","Nature (strong wind)","Nature","Google","windpowermonthly.com","Third Gamesa storm victim since December"
"221","Wind","Pembrokeshire","UK","Mr Jones suffered multiple injures and was left paralysed when part of the wind turbine fell on him at the Brithdir Mawr farm near Newport in Pembrokeshire in October 2001. ","http://news.bbc.co.uk/2/hi/uk_news/wales/6231084.stm","2001","10","9","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","October 9, 2001","Injury","0","0","1","0","1","0","Blade","Human","Human","Google","BBC","Soundman wins BBC damages claim"
"222","Wind","Northumberland","UK","A turbine propeller blade has folded in half at the UK's first electricity-generating offshore wind farm, at Blyth, in Northumberland. ","http://news.bbc.co.uk/2/hi/uk_news/england/1777268.stm","2002","1","23","Vestas","Vestas","UNKNOWN","UNKNOWN","","","January 23, 2002","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","BBC","Wind farm closed after blade snaps"
"223","Wind","Yttre Stengrund","Sweden","NEG Micon has started work replacing the nacelle on one of its offshore turbines at Yttre Stengrund in Sweden which burnt out in March. The fire, one of the first recorded at an offshore wind installation, was caused by loose connections between the transformer's connection bars and the power cables from the generator circuit breaker.","http://www.windpowermonthly.com/news/953792/Burned-generator-replaced/?DCMP=ILC-SEARCH","2002","3","UNKNOWN","NEG Micon 2000 KW","NEG Micon","2000","10000","","","UNKNOWN","Fire","0","1","0","0","0","0","Nacelle","Mechanical (loose connections between the transformer's connection bars and the power cables from the generator circuit breaker)","Mechanical","Google","windpowermonthly.com","Burned out generator replaced"
"224","Wind","Vogelsberg, Hessen","Germany","The loss of an entire rotor and hub from an NEG Micon 500 kW turbine in Germany last month was the result of an extraordinary material failure following welding work by a sub-contractor, reports the machine's manufacturer. A rupture of the main shaft was ""clearly induced by a repair procedure causing weakening"" of the material and ""inadequate quality of the repair itself,"" states NEG Micon. ","http://www.windpowermonthly.com/news/959196/One-off-NEG-Micon-turbine-failure-blamed-subcontractor/?DCMP=ILC-SEARCH","2002","9","15","NEG Micon 500 KW","NEG Micon","500","16500","","","September 15, 2002","Structural break","0","0","0","0","1","0","Rotor","Mechanical (material failure following welding work)","Mechanical","Google","windpowermonthly.com","One-off NEG Micon turbine failure blamed on subcontractor"
"225","Wind","Muiderhoek","Netherlands","The fire, in early July, burnt out the nacelle, rotor and the uppermost section of the three part, 67 metre tower. ","http://www.windpowermonthly.com/news/950973/Fire-Vestas-turbine-prompts-wind-farm-retrofit/?DCMP=ILC-SEARCH","2000","7","UNKNOWN","Vestas 300 KW","Vestas","300","17000","","","UNKNOWN","Fire","0","1","0","0","0","0","Nacelle","Mechanical (short circuit)","Mechanical","Google","windpowermonthly.com","Fire in Vestas turbine prompts wind farm retrofit"
"226","Wind","New Caledonia","France","Wind plant operators in France's overseas tropical territories are counting the costs and learning the lessons of dealing with tropical storms after Cyclone Erica struck the islands of New Caledonia on March 14.  Plum, consisting of 20 Vestas V27 and V29 turbines operated by the utility Electricité et Eau de Calédonie (EEC) suffered far more damage. ","http://www.windpowermonthly.com/news/962563/Cyclone-Erica-puts-turbines-test/?DCMP=ILC-SEARCH","2003","3","14","Vestas 220 KW","Vestas","220","UNKNOWN","","","March 14, 2003","Structural break","0","0","0","0","1","0","Nacelle","Nature (cyclone)","Nature","Google","windpowermonthly.com","Cyclone Erica puts turbines to the test"
"227","Wind","Allegheny Mountains, West Virginia","USA","
On May 23, 2003 at the Mountaineer wind farm in the Allegheny Mountains, at least 33 birds were killed. Some of the deaths were attributed to collisions with wind turbines and some to collisions with a substation.","http://www.windaction.org/news/33449","2003","5","23","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 23, 2003","Bird death","1","0","0","0","0","0","Tower","Mechanical (due to collision)","Mechanical","Google","windaction.org","Massive bird kill at West Virginia wind farm highlights national issue"
"228","Wind","Backbone Mountain, West Virginia","USA","Bat kills are emerging as a major and unexpected problem at wind turbine sites in the United States. The issue was brought to a head last month after the death of what scientists describe as an ""alarming"" and ""surprising"" number of bats in a single wind farm over what appears to be the course of about four weeks, starting August 19. At least 250 bats died in that period at the Mountaineer Wind Farm on Backbone Mountain in West Virginia.","http://www.windpowermonthly.com/news/963941/Alarming-evidence-bat-kills-eastern-US---Scientists-call-wind-industry-help-solve-mystery-serious-level-bat-mortality-wind-turbine-sites/?DCMP=ILC-SEARCH","2003","8","UNKNOWN","NEG Micon 1500 KW","NEG Micon","1500","64000","","","UNKNOWN","Bird death","1","0","0","0","0","0","Tower","Mechanical (due to collision)","Mechanical","Google","windpowermonthly.com","Alarming evidence of bat kills in eastern US -- Scientists call on wind industry to help solve mystery of serious level of bat mortality at wind turbine sites"
"229","Wind","Navarra","Spain","Investigation into the fall of a GE 1.5 MW turbine at the 49.5 MW Caluengo wind plant in Navarra discards the possibility of a series fault. ""The fault has been located to the electrical feed device of the turbine's electronic pitch control system,"" says Derna.","http://www.windpowermonthly.com/news/951780/No-series-fault-concludes-investigation-toppled-GE-Wind-15-MW-unit-Navarra/","2004","2","UNKNOWN","GE 1500 KW","GE","1500","49500","","","UNKNOWN","Structural break","0","0","0","0","1","0","Tower","Mechanical (electrical feed device)","Mechanical","Google","windpowermonthly.com","No series fault concludes investigation into toppled GE Wind 1.5 MW unit in Navarra"
